"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Malaysia,293698,"+1,924",1100.0,+12,263761.0,"+3,752",28837.0,205.0,8999.0,34.0,6086310.0,186489.0,32636369.0,Asia,111.0,29669.0,5.0
Belarus,282898,"+1,191",1948.0,+9,273146.0,"+1,413",7804.0,,29945.0,206.0,4841780.0,512505.0,9447283.0,Europe,33.0,4850.0,2.0
Ecuador,281169,"+2,390",15669.0,+35,238817.0,,26683.0,513.0,15780.0,879.0,991472.0,55646.0,17817504.0,South America,63.0,1137.0,18.0
Nepal,273872,+112,2685.0,+1,270223.0,+84,964.0,,9291.0,91.0,2153636.0,73060.0,29477525.0,Asia,108.0,10979.0,14.0
Georgia,269800,+362,3475.0,+12,263727.0,+470,2598.0,,67719.0,872.0,2623843.0,658572.0,3984138.0,Asia,15.0,1147.0,2.0
Bolivia,245719,"+1,339",11547.0,+39,189832.0,"+1,187",44340.0,71.0,20865.0,980.0,697744.0,59247.0,11776791.0,South America,48.0,1020.0,17.0
Bulgaria,243946,"+1,822",10079.0,+53,202694.0,+689,31173.0,370.0,35283.0,1458.0,1640573.0,237282.0,6914009.0,Europe,28.0,686.0,4.0
Croatia,241592,+544,5489.0,+12,233170.0,+278,2933.0,70.0,59089.0,1343.0,1327769.0,324748.0,4088610.0,Europe,17.0,745.0,3.0
Dominican Republic,237629,+746,3075.0,+9,188300.0,+878,46254.0,224.0,21763.0,282.0,1192275.0,109193.0,10918939.0,North America,46.0,3551.0,9.0
Azerbaijan,233770,+126,3209.0,+3,228299.0,+142,2262.0,,22921.0,315.0,2576454.0,252621.0,10198880.0,Asia,44.0,3178.0,4.0
Tunisia,231298,+855,7911.0,+42,195739.0,"+3,457",27648.0,259.0,19438.0,665.0,968703.0,81408.0,11899348.0,Africa,51.0,1504.0,12.0
Ireland,217478,+608,4271.0,+34,23364.0,,189843.0,137.0,43725.0,859.0,3467852.0,697227.0,4973779.0,Europe,23.0,1165.0,1.0
Kazakhstan,210357,+795,2540.0,,194375.0,+696,13442.0,221.0,11116.0,134.0,7419449.0,392082.0,18923207.0,Asia,90.0,7450.0,3.0
Denmark,209682,+603,2351.0,+6,201154.0,+439,6177.0,45.0,36117.0,405.0,16563403.0,2853022.0,5805564.0,Europe,28.0,2469.0,0.0
Costa Rica,203914,+418,2796.0,+3,175883.0,"+1,787",25235.0,150.0,39792.0,546.0,669685.0,130683.0,5124505.0,North America,25.0,1833.0,8.0
Lithuania,196047,+538,3209.0,+6,181809.0,+579,11029.0,153.0,72685.0,1190.0,2098169.0,777902.0,2697214.0,Europe,14.0,841.0,1.0
Kuwait,188024,"+1,019",1067.0,+5,176019.0,+971,10938.0,152.0,43608.0,247.0,1764536.0,409243.0,4311705.0,Asia,23.0,4041.0,2.0
Slovenia,187762,+757,3809.0,+7,171905.0,,12048.0,107.0,90308.0,1832.0,895676.0,430795.0,2079125.0,Europe,11.0,546.0,2.0
Greece,186469,"+1,783",6410.0,+39,165095.0,"+1,194",14964.0,326.0,17948.0,617.0,5113133.0,492141.0,10389574.0,Europe,56.0,1621.0,2.0
Moldova,181886,"+1,736",3871.0,+25,164321.0,+425,13694.0,287.0,45158.0,961.0,705981.0,175277.0,4027805.0,Europe,22.0,1041.0,6.0
Egypt,180640,+589,10541.0,+46,139494.0,+422,30605.0,90.0,1744.0,102.0,1000000.0,9654.0,103588673.0,Africa,573.0,9827.0,104.0
Palestine,179293,"+1,525",2008.0,+9,164557.0,+762,12728.0,101.0,34624.0,388.0,1143278.0,220783.0,5178288.0,Asia,29.0,2579.0,5.0
Guatemala,173142,+378,6334.0,+7,160047.0,+192,6761.0,5.0,9550.0,349.0,904877.0,49908.0,18130973.0,North America,105.0,2862.0,20.0
Armenia,171227,+282,3179.0,+4,162984.0,+467,5064.0,,57713.0,1071.0,716682.0,241561.0,2966874.0,Asia,17.0,933.0,4.0
Honduras,167494,+947,4076.0,+36,64988.0,+97,98430.0,444.0,16737.0,407.0,437914.0,43760.0,10007143.0,North America,60.0,2455.0,23.0
Qatar,162268,+465,257.0,,152327.0,+540,9684.0,99.0,57792.0,92.0,1521792.0,541986.0,2807805.0,Asia,17.0,10925.0,2.0
Paraguay,156189,"+1,285",3135.0,+16,130531.0,+900,22523.0,256.0,21724.0,436.0,740683.0,103020.0,7189677.0,South America,46.0,2293.0,10.0
Ethiopia,156112,+878,2321.0,+5,133607.0,+169,20184.0,387.0,1336.0,20.0,2114618.0,18103.0,116807945.0,Africa,748.0,50327.0,55.0
Nigeria,154476,+634,1891.0,+6,131699.0,+881,20886.0,10.0,738.0,9.0,1489103.0,7110.0,209448653.0,Africa,1356.0,110761.0,141.0
Myanmar,141841,+25,3198.0,+1,131417.0,+12,7226.0,,2596.0,59.0,2487520.0,45519.0,54648366.0,Asia,385.0,17088.0,22.0
Oman,140588,+288,1562.0,+4,131684.0,+299,7342.0,68.0,27085.0,301.0,1550000.0,298610.0,5190711.0,Asia,37.0,3323.0,3.0
Venezuela,137445,,1331.0,,129487.0,,6627.0,117.0,4843.0,47.0,2844236.0,100209.0,28383006.0,South America,207.0,21325.0,10.0
Libya,131833,+571,2156.0,+5,118791.0,+800,10886.0,,19018.0,311.0,718063.0,103584.0,6932186.0,Africa,53.0,3215.0,10.0
Bosnia and Herzegovina,130510,+757,5062.0,+11,114995.0,+634,10453.0,,39943.0,1549.0,658510.0,201540.0,3267391.0,Europe,25.0,645.0,5.0
Bahrain,120495,+637,439.0,+2,113132.0,+809,6924.0,66.0,69263.0,252.0,3049850.0,1753129.0,1739661.0,Asia,14.0,3963.0,1.0
Algeria,112622,+161,2973.0,+3,77683.0,+146,31966.0,19.0,2538.0,67.0,,,44365840.0,Africa,394.0,14923.0,
Kenya,105057,+277,1847.0,+8,86497.0,+119,16713.0,61.0,1926.0,34.0,1282799.0,23520.0,54539620.0,Africa,519.0,29529.0,43.0
Albania,104313,+986,1736.0,+21,67158.0,+849,35419.0,42.0,36274.0,604.0,450935.0,156807.0,2875734.0,Europe,28.0,1657.0,6.0
North Macedonia,101214,+582,3111.0,+13,90685.0,+374,7418.0,131.0,48583.0,1493.0,512692.0,246094.0,2083318.0,Europe,21.0,670.0,4.0
S. Korea,88516,+396,1581.0,+5,79487.0,+437,7448.0,144.0,1726.0,31.0,6551214.0,127709.0,51298125.0,Asia,580.0,32447.0,8.0
Kyrgyzstan,86091,+66,1463.0,+3,83006.0,+68,1622.0,29.0,13055.0,222.0,733707.0,111265.0,6594235.0,Asia,77.0,4507.0,9.0
Latvia,84258,+813,1593.0,+6,73285.0,+823,9380.0,78.0,44999.0,851.0,1470806.0,785499.0,1872448.0,Europe,22.0,1175.0,1.0
Sri Lanka,81933,+466,459.0,+2,76961.0,+447,4513.0,,3816.0,21.0,2030702.0,94574.0,21472044.0,Asia,262.0,46780.0,11.0
Ghana,81673,+428,588.0,+4,74681.0,+634,6404.0,124.0,2593.0,19.0,876839.0,27841.0,31493960.0,Africa,386.0,53561.0,36.0
Uzbekistan,79773,+24,622.0,,78290.0,+38,861.0,28.0,2361.0,18.0,1377915.0,40785.0,33785171.0,Asia,424.0,54317.0,25.0
Zambia,77171,+687,1059.0,+8,70800.0,+997,5312.0,278.0,4123.0,57.0,1072757.0,57315.0,18716796.0,Africa,243.0,17674.0,17.0
Montenegro,74183,+571,987.0,+11,64737.0,+497,8459.0,68.0,118104.0,1571.0,275064.0,437918.0,628118.0,Europe,8.0,636.0,2.0
Norway,70040,+551,620.0,,63783.0,,5637.0,18.0,12854.0,114.0,3787583.0,695103.0,5448951.0,Europe,78.0,8789.0,1.0
Estonia,61627,"+1,154",567.0,+10,47460.0,+321,13600.0,44.0,46437.0,427.0,912636.0,687682.0,1327120.0,Europe,22.0,2341.0,1.0
Singapore,59900,+10,29.0,,59785.0,+24,86.0,1.0,10186.0,5.0,7290760.0,1239837.0,5880418.0,Asia,98.0,202773.0,1.0
El Salvador,59235,,1832.0,+9,54324.0,,3079.0,40.0,9102.0,282.0,752027.0,115561.0,6507628.0,North America,110.0,3552.0,9.0
Mozambique,57597,+677,613.0,+5,38676.0,+806,18308.0,,1810.0,19.0,413982.0,13009.0,31821528.0,Africa,552.0,51911.0,77.0
Afghanistan,55696,+16,2442.0,+4,49281.0,+195,3973.0,1061.0,1410.0,62.0,293770.0,7438.0,39496895.0,Asia,709.0,16174.0,134.0
Uruguay,55695,+821,595.0,+4,48496.0,+461,6604.0,61.0,15997.0,171.0,997539.0,286516.0,3481616.0,South America,63.0,5851.0,3.0
Finland,55687,+565,740.0,+3,40000.0,,14947.0,36.0,10040.0,133.0,3270466.0,589659.0,5546364.0,Europe,100.0,7495.0,2.0
Luxembourg,54871,+193,634.0,+2,51290.0,+226,2947.0,16.0,86738.0,1002.0,2091475.0,3306131.0,632605.0,Europe,12.0,998.0,0.0
Cuba,47566,+670,312.0,+4,42809.0,+906,4445.0,61.0,4201.0,28.0,2337559.0,206460.0,11322078.0,North America,238.0,36289.0,5.0
Uganda,40300,+39,334.0,,14616.0,,25350.0,,863.0,7.0,875450.0,18757.0,46672929.0,Africa,1158.0,139739.0,53.0
Namibia,38206,+230,416.0,+3,35788.0,+38,2002.0,18.0,14861.0,162.0,298178.0,115986.0,2570820.0,Africa,67.0,6180.0,9.0
Zimbabwe,35994,+34,1458.0,+2,32455.0,+45,2081.0,41.0,2399.0,97.0,332206.0,22141.0,15003858.0,Africa,417.0,10291.0,45.0
Cameroon,35714,"+1,965",551.0,+28,32594.0,"+1,232",2569.0,53.0,1324.0,20.0,149000.0,5524.0,26973808.0,Africa,755.0,48954.0,181.0
Cyprus,33909,+199,231.0,,2057.0,,31621.0,19.0,27952.0,190.0,1844068.0,1520121.0,1213106.0,Asia,36.0,5252.0,1.0
Senegal,33741,+288,852.0,+12,28112.0,+219,4777.0,49.0,1981.0,50.0,381672.0,22412.0,17029448.0,Africa,505.0,19988.0,45.0
Ivory Coast,32295,,188.0,,31224.0,,883.0,,1205.0,7.0,411902.0,15369.0,26801338.0,Africa,830.0,142560.0,65.0
Malawi,31502,+207,1033.0,+4,18045.0,+475,12424.0,4.0,1620.0,53.0,193072.0,9927.0,19449917.0,Africa,617.0,18829.0,101.0
Australia,28947,+8,909.0,,26161.0,+5,1877.0,,1127.0,35.0,14238686.0,554187.0,25692909.0,Australia/Oceania,888.0,28265.0,2.0
Botswana,28371,+650,310.0,+10,23244.0,+471,4817.0,1.0,11908.0,130.0,805587.0,338132.0,2382460.0,Africa,84.0,7685.0,3.0
Sudan,28270,+60,1878.0,+2,22844.0,+21,3548.0,,635.0,42.0,,,44512892.0,Africa,1575.0,23702.0,
Thailand,25764,+72,83.0,,24734.0,+192,947.0,1.0,369.0,1.0,1217873.0,17419.0,69914766.0,Asia,2714.0,842347.0,57.0
DRC,25144,,700.0,,16135.0,,8309.0,,275.0,8.0,,,91319201.0,Africa,3632.0,130456.0,
Jamaica,22267,+248,410.0,+4,13173.0,+66,8684.0,21.0,7498.0,138.0,199989.0,67345.0,2969630.0,North America,133.0,7243.0,15.0
Malta,21724,+192,311.0,+3,18905.0,+185,2508.0,18.0,49114.0,703.0,687974.0,1555397.0,442314.0,Europe,20.0,1422.0,1.0
Angola,20695,+55,502.0,+1,19238.0,+17,955.0,11.0,617.0,15.0,186250.0,5555.0,33526013.0,Africa,1620.0,66785.0,180.0
Madagascar,19831,,297.0,,19296.0,,238.0,23.0,704.0,11.0,119608.0,4249.0,28151835.0,Africa,1420.0,94787.0,235.0
Maldives,19346,+184,60.0,,16838.0,+192,2448.0,162.0,35385.0,110.0,510506.0,933736.0,546735.0,Asia,28.0,9112.0,1.0
Rwanda,18553,+110,258.0,+4,17279.0,+15,1016.0,9.0,1410.0,20.0,996342.0,75709.0,13160164.0,Africa,709.0,51008.0,13.0
French Polynesia,18379,+9,139.0,,4842.0,,13398.0,5.0,65180.0,493.0,26355.0,93467.0,281971.0,Australia/Oceania,15.0,2029.0,11.0
Mauritania,17179,+21,439.0,,16524.0,+27,216.0,14.0,3633.0,93.0,170501.0,36056.0,4728746.0,Africa,275.0,10772.0,28.0
Eswatini,16946,+49,650.0,+1,14031.0,+230,2265.0,36.0,14508.0,557.0,150521.0,128870.0,1168006.0,Africa,69.0,1797.0,8.0
Mayotte,16861,+223,102.0,+4,2964.0,,13795.0,22.0,60852.0,368.0,114181.0,412087.0,277080.0,Africa,16.0,2716.0,2.0
French Guiana,16529,,83.0,,9995.0,,6451.0,11.0,54427.0,273.0,146639.0,482853.0,303693.0,South America,18.0,3659.0,2.0
Guinea,15789,+109,88.0,,14821.0,+23,880.0,24.0,1182.0,7.0,136825.0,10239.0,13363199.0,Africa,846.0,151855.0,98.0
Syria,15405,+62,1014.0,+6,9553.0,+85,4838.0,,867.0,57.0,,,17776080.0,Asia,1154.0,17531.0,
Cabo Verde,15201,+40,145.0,,14694.0,+56,362.0,23.0,27148.0,259.0,118654.0,211909.0,559928.0,Africa,37.0,3862.0,5.0
Gabon,14234,,80.0,,12846.0,,1308.0,12.0,6299.0,35.0,516618.0,228615.0,2259771.0,Africa,159.0,28247.0,4.0
Tajikistan,13308,,90.0,,13218.0,,0.0,,1375.0,9.0,,,9676574.0,Asia,727.0,107517.0,
Réunion,12416,,52.0,,11270.0,,1094.0,55.0,13803.0,58.0,98785.0,109823.0,899490.0,Africa,72.0,17298.0,9.0
Haiti,12390,+38,248.0,+1,9611.0,+41,2531.0,,1078.0,22.0,54379.0,4731.0,11493186.0,North America,928.0,46343.0,211.0
Belize,12280,+9,315.0,,11824.0,+8,141.0,2.0,30523.0,783.0,83496.0,207536.0,402321.0,North America,33.0,1277.0,5.0
Burkina Faso,11914,+27,142.0,,11340.0,+20,432.0,,560.0,7.0,,,21273946.0,Africa,1786.0,149817.0,
Hong Kong,10927,+13,198.0,,10474.0,+13,255.0,18.0,1450.0,26.0,7980942.0,1058939.0,7536734.0,Asia,690.0,38064.0,1.0
Andorra,10799,+24,110.0,,10356.0,+37,333.0,17.0,139619.0,1422.0,193595.0,2502974.0,77346.0,Europe,7.0,703.0,0.0
Lesotho,10468,+1,292.0,+1,3577.0,+159,6599.0,,4861.0,136.0,60421.0,28059.0,2153349.0,Africa,206.0,7374.0,36.0
Guadeloupe,9746,,159.0,,2242.0,,7345.0,6.0,24355.0,397.0,131178.0,327807.0,400169.0,North America,41.0,2517.0,3.0
Suriname,8901,+9,170.0,,8385.0,+14,346.0,5.0,15085.0,288.0,40502.0,68640.0,590066.0,South America,66.0,3471.0,15.0
Congo,8820,,128.0,,7019.0,,1673.0,,1573.0,23.0,92500.0,16500.0,5606063.0,Africa,636.0,43797.0,61.0
Bahamas,8496,,179.0,,7274.0,,1043.0,1.0,21471.0,452.0,67216.0,169867.0,395698.0,North America,47.0,2211.0,6.0
